restaurants open at 10 morning time,/->/s/#let s go{'time'= '10:00 am'|1|'10 morning time')}
find me a restaurant for 20 on august 13 2019,/s/->/s/#find table{'date'= '13 aug'|1|'august 13  2019'; 'people'= '20 people'|1|'20')}
which blu sardinia restaurants are available for 14 persons at 5:00 pm in the evening on 20 sep 2019,/s/->/s/#find table{'date'= '20 sep'|1|'20 sep 2019'; 'time'= '5:00 pm'|1|'5:00 pm in the evening'; 'people'= '14 people'|1|'14 persons'; 'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia')}
choose gyu kaku bellevue at 3:30 afternoon time,/s/->/book/details#time{'time'= '3:30 pm'|1|'3:30 afternoon time'; 'restaurant'= 'gyu kaku bellevue'|1|'gyu kaku bellevue')}
what about a table here at 8:00 am in the morning for about 18 people,restaurant->restaurant#find table{'time'= '8:00 am'|1|'8:00 am in the morning'; 'party size'= '18'|1|'about 18 people')}
seafood restaurants,/s/->/s/#find table{'location restaurant or cuisine'= 'seafood'|0|'seafood')}
narrow down the results to seattle south of seattle,State->City#city{'city'= 'seattle south of seattle'|1|'seattle south of seattle')}
what's available at 12:00 am in the morning,/->/s/#let s go{'time'= '12:00 am'|1|'12:00 am in the morning')}
is 6:30 pm time still available,restaurant->/book/details#time{'time'= '6:30 pm'|1|'6:30 pm time')}
yes reserve this resturant for 7:00 evening time,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7:00 evening time')}
how booked it is on august 9 2019,restaurant->restaurant#find table{'date'= '9 aug'|1|'august 9  2019')}
can you reserve on 12 sep 2019 for 13 guests,restaurant->restaurant#find table{'date'= '12 sep'|1|'12 sep 2019'; 'party size'= '13'|1|'13 guests')}
which gyu kaku bellevue wa restaurants are available on december 27 2019,/s/->/s/#find table{'date'= '27 dec'|1|'december 27  2019'; 'location restaurant or cuisine'= 'gyu kaku bellevue wa'|0|'gyu kaku bellevue wa')}
find me jewish deli restaurants for about 11 people,/s/->/s/#find table{'people'= '11 people'|1|'about 11 people'; 'location restaurant or cuisine'= 'jewish deli'|0|'jewish deli')}
I'm interested in ruth s chris steak house bellevue,/s/->restaurant#restaurant{'restaurant'= 'ruth s chris steak house bellevue'|1|'ruth s chris steak house bellevue')}
can I view more details on cepae la parisienne bellevue,/s/->restaurant#restaurant{'restaurant'= 'cepae la parisienne bellevue'|1|'cepae la parisienne bellevue')}
available beachhouse bar grill restaurants for about 18 people,/s/->/s/#find table{'people'= '18 people'|1|'about 18 people'; 'location restaurant or cuisine'= 'beachhouse bar grill'|0|'beachhouse bar grill')}
available restaurants for 17 on december 18 2019 at 8 am time,/->/s/#let s go{'date'= '18 dec'|1|'december 18  2019'; 'time'= '8:00 am'|1|'8 am time'; 'people'= '17 people'|1|'17')}
book me a gluten free restaurant for 10 persons on 31 jul 2019 at 3:30 pm in the afternoon,/s/->/s/#find table{'date'= '31 jul'|1|'31 jul 2019'; 'time'= '3:30 pm'|1|'3:30 pm in the afternoon'; 'people'= '10 people'|1|'10 persons'; 'location restaurant or cuisine'= 'gluten free'|0|'gluten free')}
available hector s restaurant restaurants for a party of 17 people,/->/s/#let s go{'location restaurant or cuisine'= 'hector s restaurant'|0|'hector s restaurant'; 'people'= '17 people'|1|'a party of 17 people')}
more details on earls kitchen bar bellevue,/s/->restaurant#restaurant{'restaurant'= 'earls kitchen bar bellevue'|1|'earls kitchen bar bellevue')}
jj mahoney s irish pub restaurants for 13 persons,/s/->/s/#find table{'people'= '13 people'|1|'13 persons'; 'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}
book me a italian restaurant for a party of 16 people on august 29 2019 at 9:00 in the morning,/s/->/s/#find table{'date'= '29 aug'|1|'august 29  2019'; 'time'= '9:00 am'|1|'9:00 in the morning'; 'people'= '16 people'|1|'a party of 16 people'; 'location restaurant or cuisine'= 'italian'|0|'italian')}
show me the mains for this one,restaurant->restaurant#restaurant details{'restaurant details'= 'menu'|1|'mains')}||restaurant->restaurant#menu type{'menu type'= 'dinner menu'|1|'mains')}
filter by british cuisine,/s/->/s/#cuisine{'cuisine'= 'seafood'|1|'british')}
available ristorante paradiso restaurants at 11:30 pm in the night,/->/s/#let s go{'location restaurant or cuisine'= 'ristorante paradiso'|0|'ristorante paradiso'; 'time'= '11:30 pm'|1|'11:30 pm in the night')}
wine menu,restaurant->restaurant#menu type{'menu type'= 'wine list'|1|'wine menu')}
do they have a salads salads of this place please,restaurant->restaurant#menu type{'menu type'= 'vegetarian menu'|1|'salads')}
find me venice restaurants on august 20 2019,/->/s/#let s go{'location restaurant or cuisine'= 'venice'|0|'venice'; 'date'= '20 aug'|1|'august 20  2019')}
which the bistro at hollywood schoolhouse restaurants are available on december 19 2019,/->/s/#let s go{'location restaurant or cuisine'= 'the bistro at hollywood schoolhouse'|0|'the bistro at hollywood schoolhouse'; 'date'= '19 dec'|1|'december 19  2019')}
available boston restaurants on 29 nov 2019,/s/->/s/#find table{'date'= '29 nov'|1|'29 nov 2019'; 'location restaurant or cuisine'= 'boston'|0|'boston')}
can they accomodate a group of 2 friends on november 20 2019,restaurant->restaurant#find table{'date'= '20 nov'|1|'november 20  2019'; 'party size'= '2'|1|'a group of 2 friends')}
what about a table here at 10:00 am time for 19 people,restaurant->restaurant#find table{'time'= '10:00 am'|1|'10:00 am time'; 'party size'= '19'|1|'19 people')}
british restaurants,/s/->/s/#find table{'location restaurant or cuisine'= 'british'|0|'british')}
available bellevue restaurants at 16:30,/->/s/#let s go{'location restaurant or cuisine'= 'bellevue'|0|'bellevue'; 'time'= '4:30 pm'|1|'16:30')}
seafood restaurants for a group of 20,/s/->/s/#find table{'people'= '20 people'|1|'a group of 20'; 'location restaurant or cuisine'= 'seafood'|0|'seafood')}
find me a restaurant for about 15 people on 3 jul 2019,/->/s/#let s go{'date'= '3 jul'|1|'3 jul 2019'; 'people'= '15 people'|1|'about 15 people')}
mexican restaurants for group of 14,/s/->/s/#find table{'people'= '14 people'|1|'group of 14'; 'location restaurant or cuisine'= 'mexican'|0|'mexican')}
find me a restaurant for 8:30 evening time,/s/->/s/#find table{'time'= '8:30 pm'|1|'8:30 evening time')}
proceed with the melting pot bellevue at 5:45 pm time,/s/->/book/details#time{'time'= '5:45 pm'|1|'5:45 pm time'; 'restaurant'= 'the melting pot bellevue'|1|'the melting pot bellevue')}
mercato stellina restaurants for size of 14,/->/s/#let s go{'location restaurant or cuisine'= 'mercato stellina'|0|'mercato stellina'; 'people'= '14 people'|1|'size of 14')}
find me lot no 3 restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'lot no 3'|0|'lot no 3')}
available latin american restaurants on 20 nov 2019,/s/->/s/#find table{'date'= '20 nov'|1|'20 nov 2019'; 'location restaurant or cuisine'= 'latin american'|0|'latin american')}
is there any option with standard option,/s/->/s/#seating option{'seating option'= 'standard'|1|'standard option')}
filter by winthrop,State->City#city{'city'= 'winthrop'|1|'winthrop')}
available fuji steak house restaurants for 10 on 7 aug 2019 at 11:30 in the morning,/s/->/s/#find table{'date'= '7 aug'|1|'7 aug 2019'; 'time'= '11:30 am'|1|'11:30 in the morning'; 'people'= '10 people'|1|'10'; 'location restaurant or cuisine'= 'fuji steak house'|0|'fuji steak house')}
find me the bistro at hollywood schoolhouse restaurants for a party of 9 people,/s/->/s/#find table{'people'= '9 people'|1|'a party of 9 people'; 'location restaurant or cuisine'= 'the bistro at hollywood schoolhouse'|0|'the bistro at hollywood schoolhouse')}
available mexican restaurants for 9 persons on 18 nov 2019,/->/s/#let s go{'location restaurant or cuisine'= 'mexican'|0|'mexican'; 'date'= '18 nov'|1|'18 nov 2019'; 'people'= '9 people'|1|'9 persons')}
find me a restaurant for just for 15 on 26 nov 2019,/s/->/s/#find table{'date'= '26 nov'|1|'26 nov 2019'; 'people'= '15 people'|1|'just for 15')}
find me tapas restaurants for the 12 of us,/s/->/s/#find table{'people'= '12 people'|1|'the 12 of us'; 'location restaurant or cuisine'= 'tapas'|0|'tapas')}
how is beach cafe,/s/->restaurant#restaurant{'restaurant'= 'beach cafe'|1|'beach cafe')}
available vietnamese restaurants for just for 19 on november 28 2019 at 10:30,/->/s/#let s go{'location restaurant or cuisine'= 'vietnamese'|0|'vietnamese'; 'date'= '28 nov'|1|'november 28  2019'; 'time'= '10:30 am'|1|'10:30'; 'people'= '19 people'|1|'just for 19')}
show me ascend prime steak sushi,/s/->restaurant#restaurant{'restaurant'= 'ascend prime steak sushi'|1|'ascend prime steak sushi')}
find me a restaurant for 8,/->/s/#let s go{'people'= '8 people'|1|'8')}||/s/->/s/#find table{'people'= '8 people'|1|'8')}
I want a table here for 5:30 evening time,restaurant->/book/details#time{'time'= '5:30 pm'|1|'5:30 evening time')}
which cafe juanita restaurants are available at 8:00 am time on july 1 2019,/->/s/#let s go{'location restaurant or cuisine'= 'cafe juanita'|0|'cafe juanita'; 'date'= '1 jul'|1|'july 1  2019'; 'time'= '8:00 am'|1|'8:00 am time')}
I want the bistro at hollywood schoolhouse,/s/->restaurant#restaurant{'restaurant'= 'the bistro at hollywood schoolhouse'|1|'the bistro at hollywood schoolhouse')}
choose fogo de chao brazilian steakhouse bellevue at 3:30 in the afternoon,/s/->/book/details#time{'time'= '3:30 pm'|1|'3:30 in the afternoon'; 'restaurant'= 'fogo de chao brazilian steakhouse bellevue'|1|'fogo de chao brazilian steakhouse bellevue')}
book ascend prime steak & sushi at 5:45 in the evening,/s/->/book/details#time{'time'= '5:45 pm'|1|'5:45 in the evening'; 'restaurant'= 'ascend prime steak & sushi'|1|'ascend prime steak & sushi')}
some good restaurants in west seattle,State->City#city{'city'= 'west seattle'|1|'west seattle')}
can I book on 29 jul 2019 at 14:30 for just for 14,restaurant->restaurant#find table{'time'= '2:30 pm'|1|'14:30'; 'date'= '29 jul'|1|'29 jul 2019'; 'party size'= '14'|1|'just for 14')}
show results only for the city union gap,State->City#city{'city'= 'union gap'|1|'union gap')}
details on duke s seafood chowder bellevue,/s/->restaurant#restaurant{'restaurant'= 'duke s seafood chowder bellevue'|1|'duke s seafood chowder bellevue')}
what's available for about 6 people on 26 jul 2019,/->/s/#let s go{'date'= '26 jul'|1|'26 jul 2019'; 'people'= '6 people'|1|'about 6 people')}
do they have a drinks menu drinks menu of this place please,restaurant->restaurant#menu type{'menu type'= 'wine list'|1|'drinks menu')}
available vegan restaurants for a group of 13 friends on december 18 2019,/s/->/s/#find table{'date'= '18 dec'|1|'december 18  2019'; 'people'= '13 people'|1|'a group of 13 friends'; 'location restaurant or cuisine'= 'vegan'|0|'vegan')}
available restaurants for 14 persons on 30 sep 2019 at 7:00 in the evening,/->/s/#let s go{'date'= '30 sep'|1|'30 sep 2019'; 'time'= '7:00 pm'|1|'7:00 in the evening'; 'people'= '14 people'|1|'14 persons')}
what's available for a party of 4 people on july 22 2019,/s/->/s/#find table{'date'= '22 jul'|1|'july 22  2019'; 'people'= '4 people'|1|'a party of 4 people')}
reviews of people who visited it please,restaurant->restaurant#restaurant details{'restaurant details'= 'reviews'|1|'reviews of people who visited it')}
proceed with fogo de chao brazilian steakhouse bellevue at 20:15,/s/->/book/details#time{'time'= '8:15 pm'|1|'20:15'; 'restaurant'= 'fogo de chao brazilian steakhouse bellevue'|1|'fogo de chao brazilian steakhouse bellevue')}
how booked it is on september 11 2019,restaurant->restaurant#find table{'date'= '11 sep'|1|'september 11  2019')}
complete the reservation for 5:30 evening time,restaurant->/book/details#time{'time'= '5:30 pm'|1|'5:30 evening time')}
which indonesian restaurants are available at 10 night time on october 24 2019,/s/->/s/#find table{'date'= '24 oct'|1|'october 24  2019'; 'time'= '10:00 pm'|1|'10 night time'; 'location restaurant or cuisine'= 'indonesian'|0|'indonesian')}
place the reservation for 6:45 pm time,restaurant->/book/details#time{'time'= '6:45 pm'|1|'6:45 pm time')}
find me a restaurant for the 18 of us on december 16 2019,/->/s/#let s go{'date'= '16 dec'|1|'december 16  2019'; 'people'= '18 people'|1|'the 18 of us')}
make a reservation for a gluten free,/->/s/#let s go{'location restaurant or cuisine'= 'gluten free'|0|'gluten free')}||/s/->/s/#find table{'location restaurant or cuisine'= 'gluten free'|0|'gluten free')}
show me henry s tavern bellevue,/s/->restaurant#restaurant{'restaurant'= 'henry s tavern bellevue'|1|'henry s tavern bellevue')}
find me oregon restaurants at 5 evening time,/->/s/#let s go{'location restaurant or cuisine'= 'oregon'|0|'oregon'; 'time'= '5:00 pm'|1|'5 evening time')}
book me a izumi restaurant for a party of 7 on 1 oct 2019 at 6:30 morning time,/->/s/#let s go{'location restaurant or cuisine'= 'izumi'|0|'izumi'; 'date'= '1 oct'|1|'1 oct 2019'; 'time'= '6:30 am'|1|'6:30 morning time'; 'people'= '7 people'|1|'a party of 7')}
find me a restaurant for 16,/->/s/#let s go{'people'= '16 people'|1|'16')}||/s/->/s/#find table{'people'= '16 people'|1|'16')}
find me pizzeria restaurants at 10 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'pizzeria'|0|'pizzeria'; 'time'= '10:00 pm'|1|'10 pm time')}
find me a restaurant for 20 on 21 oct 2019,/->/s/#let s go{'date'= '21 oct'|1|'21 oct 2019'; 'people'= '20 people'|1|'20')}
find me a restaurant for just for 19,/s/->/s/#find table{'people'= '19 people'|1|'just for 19')}
available chilean restaurants for the 11 of us on 19 nov 2019,/s/->/s/#find table{'date'= '19 nov'|1|'19 nov 2019'; 'people'= '11 people'|1|'the 11 of us'; 'location restaurant or cuisine'= 'chilean'|0|'chilean')}
which paris restaurants are available for a group of 5 friends at 4:00 afternoon time on november 11 2019,/->/s/#let s go{'location restaurant or cuisine'= 'paris'|0|'paris'; 'date'= '11 nov'|1|'november 11  2019'; 'time'= '4:00 pm'|1|'4:00 afternoon time'; 'people'= '5 people'|1|'a group of 5 friends')}
choose daniel's broiler bellevue at 6:15 in the evening,/s/->/book/details#time{'time'= '6:15 pm'|1|'6:15 in the evening'; 'restaurant'= "daniel's broiler bellevue"|1|"daniel's broiler bellevue")}
can I view more details on grazie ristorante canyon,/s/->restaurant#restaurant{'restaurant'= 'grazie ristorante canyon park'|1|'grazie ristorante canyon')}
how booked it is on october 9 2019,restaurant->restaurant#find table{'date'= '9 oct'|1|'october 9  2019')}
what's available for group of 14,/->/s/#let s go{'people'= '14 people'|1|'group of 14')}||/s/->/s/#find table{'people'= '14 people'|1|'group of 14')}
what about a table here at 12 o'clock for 10 guests,restaurant->restaurant#find table{'time'= '12:00 pm'|1|"12 o'clock"; 'party size'= '10'|1|'10 guests')}
can they accomodate about 8 people on 18 nov 2019,restaurant->restaurant#find table{'date'= '18 nov'|1|'18 nov 2019'; 'party size'= '8'|1|'about 8 people')}
make a reservation for a spanish,/s/->/s/#find table{'location restaurant or cuisine'= 'spanish'|0|'spanish')}
find me jj mahoney s irish pub restaurants for just for 5 on october 3 2019 at 1:30 am time,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub'; 'date'= '3 oct'|1|'october 3  2019'; 'time'= '1:30 am'|1|'1:30 am time'; 'people'= '5 people'|1|'just for 5')}
book me a venice restaurant for just for 13 on 20 dec 2019 at 4:00 in the morning,/->/s/#let s go{'location restaurant or cuisine'= 'venice'|0|'venice'; 'date'= '20 dec'|1|'20 dec 2019'; 'time'= '4:00 am'|1|'4:00 in the morning'; 'people'= '13 people'|1|'just for 13')}
which fuji steak house restaurants are available on august 28 2019,/->/s/#let s go{'location restaurant or cuisine'= 'fuji steak house'|0|'fuji steak house'; 'date'= '28 aug'|1|'august 28  2019')}
what's available for me and 2 kids on 28 aug 2019,/->/s/#let s go{'date'= '28 aug'|1|'28 aug 2019'; 'people'= '3 people'|1|'me and 2 kids')}
can I book on 11 dec 2019 at 5:30 pm in the evening for a group of 5 friends,restaurant->restaurant#find table{'time'= '5:30 pm'|1|'5:30 pm in the evening'; 'date'= '11 dec'|1|'11 dec 2019'; 'party size'= '5'|1|'a group of 5 friends')}
find me a restaurant for about 17 people on july 11 2019,/s/->/s/#find table{'date'= '11 jul'|1|'july 11  2019'; 'people'= '17 people'|1|'about 17 people')}
some gluten free restaurants for september 30 2019,/s/->/s/#find table{'date'= '30 sep'|1|'september 30  2019'; 'location restaurant or cuisine'= 'gluten free'|0|'gluten free')}
make a reservation for a san francisco,/->/s/#let s go{'location restaurant or cuisine'= 'san francisco'|0|'san francisco')}
available vancouver restaurants on july 18 2019,/->/s/#let s go{'location restaurant or cuisine'= 'vancouver'|0|'vancouver'; 'date'= '18 jul'|1|'july 18  2019')}
more information for heritage restaurant,/s/->restaurant#restaurant{'restaurant'= 'heritage restaurant'|1|'heritage restaurant')}
can you reserve on december 4 2019 for 1 guest,restaurant->restaurant#find table{'date'= '4 dec'|1|'december 4  2019'; 'party size'= '1'|1|'1 guest')}
find me a restaurant for the 10 of us on december 17 2019,/->/s/#let s go{'date'= '17 dec'|1|'december 17  2019'; 'people'= '10 people'|1|'the 10 of us')}
I want woodman lodge,/s/->restaurant#restaurant{'restaurant'= 'woodman lodge'|1|'woodman lodge')}
show results only for the city sammamish,State->City#city{'city'= 'sammamish'|1|'sammamish')}
what are some good restaurants in atlanta,/->City#featured areas{'featured areas'= 'atlanta'|1|'atlanta')}
available palomino restaurants on august 21 2019,/->/s/#let s go{'location restaurant or cuisine'= 'palomino'|0|'palomino'; 'date'= '21 aug'|1|'august 21  2019')}
available indian restaurants on december 27 2019,/s/->/s/#find table{'date'= '27 dec'|1|'december 27  2019'; 'location restaurant or cuisine'= 'indian'|0|'indian')}
which izumi restaurants are available for just me and susan at 11:00 on december 12 2019,/s/->/s/#find table{'date'= '12 dec'|1|'december 12  2019'; 'time'= '11:00 am'|1|'11:00'; 'people'= '2 people'|1|'just me and susan'; 'location restaurant or cuisine'= 'izumi'|0|'izumi')}
can I book on 21 aug 2019 at 12:30 night time for a party of 3 people,restaurant->restaurant#find table{'time'= '12:30 pm'|1|'12:30 night time'; 'date'= '21 aug'|1|'21 aug 2019'; 'party size'= '3'|1|'a party of 3 people')}
what's available for just for 7 at 12:30 pm time on september 19 2019,/s/->/s/#find table{'date'= '19 sep'|1|'september 19  2019'; 'time'= '12:30 pm'|1|'12:30 pm time'; 'people'= '7 people'|1|'just for 7')}
I'm interested in vivi pizzeria,/s/->restaurant#restaurant{'restaurant'= 'vivi pizzeria'|1|'vivi pizzeria')}
which salad restaurants are available for 8 at 4:30 am in the morning on 29 jul 2019,/->/s/#let s go{'location restaurant or cuisine'= 'salad'|0|'salad'; 'date'= '29 jul'|1|'29 jul 2019'; 'time'= '4:30 am'|1|'4:30 am in the morning'; 'people'= '8 people'|1|'8')}
find me a restaurant for about 16 people on july 12 2019 at 12:30 am time,/s/->/s/#find table{'date'= '12 jul'|1|'july 12  2019'; 'time'= '12:30 am'|1|'12:30 am time'; 'people'= '16 people'|1|'about 16 people')}
choose solarium kitchen & bar at 4:30 pm in the afternoon,/s/->/book/details#time{'time'= '4:30 pm'|1|'4:30 pm in the afternoon'; 'restaurant'= 'solarium kitchen & bar'|1|'solarium kitchen & bar')}
can I book on november 1 2019 at 19:30 for about 20 people,restaurant->restaurant#find table{'time'= '7:30 pm'|1|'19:30'; 'date'= '1 nov'|1|'november 1  2019'; 'party size'= '20'|1|'about 20 people')}
available volterra kirkland restaurants on october 4 2019,/->/s/#let s go{'location restaurant or cuisine'= 'volterra kirkland'|0|'volterra kirkland'; 'date'= '4 oct'|1|'october 4  2019')}
which maggiano restaurants are available for me my wife and my daughter,/->/s/#let s go{'location restaurant or cuisine'= 'maggiano'|0|'maggiano'; 'people'= '3 people'|1|'me my wife and my daughter')}
available hector s restaurant restaurants at 10:00 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'hector s restaurant'|0|'hector s restaurant'; 'time'= '10:00 pm'|1|'10:00 pm time')}
find me a restaurant for a party of 17 people on 9 oct 2019,/s/->/s/#find table{'date'= '9 oct'|1|'9 oct 2019'; 'people'= '17 people'|1|'a party of 17 people')}
available tacoma restaurants for 18 on july 3 2019,/->/s/#let s go{'location restaurant or cuisine'= 'tacoma'|0|'tacoma'; 'date'= '3 jul'|1|'july 3  2019'; 'people'= '18 people'|1|'18')}
anything free at 10:30 pm in the night,restaurant->restaurant#find table{'time'= '10:30 pm'|1|'10:30 pm in the night')}
find me a restaurant for just for 15 on 18 jul 2019 at 12:30 pm time,/->/s/#let s go{'date'= '18 jul'|1|'18 jul 2019'; 'time'= '12:30 pm'|1|'12:30 pm time'; 'people'= '15 people'|1|'just for 15')}
avaiability for 6:15 evening time,restaurant->/book/details#time{'time'= '6:15 pm'|1|'6:15 evening time')}
more info on blu sardinia,/s/->restaurant#restaurant{'restaurant'= 'blu sardinia'|1|'blu sardinia')}
which mediterranean restaurants are available on 9 dec 2019,/s/->/s/#find table{'date'= '9 dec'|1|'9 dec 2019'; 'location restaurant or cuisine'= 'mediterranean'|0|'mediterranean')}
what's available at 16:00,/->/s/#let s go{'time'= '4:00 pm'|1|'16:00')}||/s/->/s/#find table{'time'= '4:00 pm'|1|'16:00')}
available middle eastern restaurants for 17 persons on 10 dec 2019 at 4 in the morning,/s/->/s/#find table{'date'= '10 dec'|1|'10 dec 2019'; 'time'= '4:00 am'|1|'4 in the morning'; 'people'= '17 people'|1|'17 persons'; 'location restaurant or cuisine'= 'middle eastern'|0|'middle eastern')}
can you get me a table at this one at 6 pm time,restaurant->/book/details#time{'time'= '6:00 pm'|1|'6 pm time')}
what's the avaiability on december 30 2019,restaurant->restaurant#find table{'date'= '30 dec'|1|'december 30  2019')}
do they have any table left on july 1 2019,restaurant->restaurant#find table{'date'= '1 jul'|1|'july 1  2019')}
restaurant for 16,/s/->/s/#find table{'people'= '16 people'|1|'16')}
do they have any table left on september 30 2019,restaurant->restaurant#find table{'date'= '30 sep'|1|'september 30  2019')}
is it available on november 6 2019 at 2:00 pm in the afternoon,restaurant->restaurant#find table{'time'= '2:00 pm'|1|'2:00 pm in the afternoon'; 'date'= '6 nov'|1|'november 6  2019')}
can I view more details on moksha bellevue,/s/->restaurant#restaurant{'restaurant'= 'moksha bellevue'|1|'moksha bellevue')}
available renton restaurants for 6 persons,/->/s/#let s go{'location restaurant or cuisine'= 'renton'|0|'renton'; 'people'= '6 people'|1|'6 persons')}
available london restaurants at 2:30 afternoon time,/->/s/#let s go{'location restaurant or cuisine'= 'london'|0|'london'; 'time'= '2:30 pm'|1|'2:30 afternoon time')}
can I book on september 4 2019 at 12:30 am time for 10 persons,restaurant->restaurant#find table{'time'= '12:30 am'|1|'12:30 am time'; 'date'= '4 sep'|1|'september 4  2019'; 'party size'= '10'|1|'10 persons')}
I want to know more about wild ginger bellevue,/s/->restaurant#restaurant{'restaurant'= 'wild ginger bellevue'|1|'wild ginger bellevue')}
which austin restaurants are available on 1 nov 2019,/s/->/s/#find table{'date'= '1 nov'|1|'1 nov 2019'; 'location restaurant or cuisine'= 'austin'|0|'austin')}
yes reserve this resturant for 7 o'clock,restaurant->/book/details#time{'time'= '7:00 pm'|1|"7 o'clock")}
list restaurants in missouri state,/->State#restaurants in the united states{'restaurants in the united states'= 'missouri'|1|'missouri state')}
how is fig olive chicago restaurant,City->restaurant#select restaurant{'select restaurant'= 'fig olive chicago'|1|'fig olive chicago restaurant')}
available greek restaurants at 5:30,/s/->/s/#find table{'time'= '5:30 am'|1|'5:30'; 'location restaurant or cuisine'= 'greek'|0|'greek')}
available heritage restaurant restaurants for about 19 people,/s/->/s/#find table{'people'= '19 people'|1|'about 19 people'; 'location restaurant or cuisine'= 'heritage restaurant'|0|'heritage restaurant')}
more info about the restaurant hector s restaurant,/s/->restaurant#restaurant{'restaurant'= 'hector s restaurant'|1|'hector s restaurant')}
is it available for 6:30 evening time,restaurant->/book/details#time{'time'= '6:30 pm'|1|'6:30 evening time')}
what's available for 7 persons on september 25 2019,/->/s/#let s go{'date'= '25 sep'|1|'september 25  2019'; 'people'= '7 people'|1|'7 persons')}
available tacoma restaurants for about 10 people on november 13 2019,/s/->/s/#find table{'date'= '13 nov'|1|'november 13  2019'; 'people'= '10 people'|1|'about 10 people'; 'location restaurant or cuisine'= 'tacoma'|0|'tacoma')}
book carmine's bellevue at 9:15 evening time,/s/->/book/details#time{'time'= '9:15 pm'|1|'9:15 evening time'; 'restaurant'= "carmine's bellevue"|1|"carmine's bellevue")}
show me some seattle restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'seattle'|0|'seattle')}||/s/->/s/#find table{'location restaurant or cuisine'= 'seattle'|0|'seattle')}
which izumi restaurants are available for about 13 people,/->/s/#let s go{'location restaurant or cuisine'= 'izumi'|0|'izumi'; 'people'= '13 people'|1|'about 13 people')}
restaurants open at 7:00,/s/->/s/#find table{'time'= '7:00 am'|1|'7:00')}
what's available for 15 persons on september 13 2019,/->/s/#let s go{'date'= '13 sep'|1|'september 13  2019'; 'people'= '15 people'|1|'15 persons')}
find me french restaurants for 14 persons,/s/->/s/#find table{'people'= '14 people'|1|'14 persons'; 'location restaurant or cuisine'= 'french'|0|'french')}
show me more information for  osteria langhe restaurant,City->restaurant#select restaurant{'select restaurant'= 'osteria langhe'|1|'osteria langhe restaurant')}
proceed with the melting pot bellevue at 8:00 pm time,/s/->/book/details#time{'time'= '8:00 pm'|1|'8:00 pm time'; 'restaurant'= 'the melting pot bellevue'|1|'the melting pot bellevue')}
I want to know more about kabab palace,/s/->restaurant#restaurant{'restaurant'= 'kabab palace'|1|'kabab palace')}
which jj mahoney s irish pub restaurants are available,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}||/s/->/s/#find table{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}
available amsterdam restaurants for a group of 17 friends,/->/s/#let s go{'location restaurant or cuisine'= 'amsterdam'|0|'amsterdam'; 'people'= '17 people'|1|'a group of 17 friends')}
find me drinks only restaurants for a party of 11 people on 1 oct 2019 at 3 afternoon time,/s/->/s/#find table{'date'= '1 oct'|1|'1 oct 2019'; 'time'= '3:00 pm'|1|'3 afternoon time'; 'people'= '11 people'|1|'a party of 11 people'; 'location restaurant or cuisine'= 'drinks only'|0|'drinks only')}
how is twisted cuban cafe bar,/s/->restaurant#restaurant{'restaurant'= 'twisted cuban cafe bar'|1|'twisted cuban cafe bar')}
what's available for about 12 people on july 31 2019,/->/s/#let s go{'date'= '31 jul'|1|'july 31  2019'; 'people'= '12 people'|1|'about 12 people')}
restaurant for 9,/s/->/s/#find table{'people'= '9 people'|1|'9')}
find me a restaurant for a party of 3 on 24 oct 2019 at 3:30 am in the morning,/s/->/s/#find table{'date'= '24 oct'|1|'24 oct 2019'; 'time'= '3:30 am'|1|'3:30 am in the morning'; 'people'= '3 people'|1|'a party of 3')}
proceed with beachhouse bar grill at 20:00,/s/->/book/details#time{'time'= '8:00 pm'|1|'20:00'; 'restaurant'= 'beachhouse bar grill'|1|'beachhouse bar grill')}
austin restaurants for just for 18,/->/s/#let s go{'location restaurant or cuisine'= 'austin'|0|'austin'; 'people'= '18 people'|1|'just for 18')}
find me zurich restaurants at 8:30 am time,/->/s/#let s go{'location restaurant or cuisine'= 'zurich'|0|'zurich'; 'time'= '8:30 am'|1|'8:30 am time')}
available restaurants for just for 17 on 10 dec 2019 at 12:30 am in the morning,/->/s/#let s go{'date'= '10 dec'|1|'10 dec 2019'; 'time'= '12:30 am'|1|'12:30 am in the morning'; 'people'= '17 people'|1|'just for 17')}
which barking frog restaurants are available on september 11 2019,/s/->/s/#find table{'date'= '11 sep'|1|'september 11  2019'; 'location restaurant or cuisine'= 'barking frog'|0|'barking frog')}
I want to know more about spice route,/s/->restaurant#restaurant{'restaurant'= 'spice route'|1|'spice route')}
