what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
can they accomodate a group of 9 friends on 30 sep 2019,Restaurant->Restaurant availability#find table{'date'= '30 sep'|1|'30 sep 2019'; 'number of people'= 'for 9'|1|'a group of 9 friends')}
more information for the restaurant mber,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'mber'|1|'mber')}
can you get me a table at this one at 9:00 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 night time')}
can they accomodate the 3 of us on 19 nov 2019,Restaurant->Restaurant availability#find table{'date'= '19 nov'|1|'19 nov 2019'; 'number of people'= 'for 3'|1|'the 3 of us')}
is 4:45 pm time still available,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm time')}
filter the results by burger,/search-listings/->/search-listings/#cuisine{'cuisine'= 'burger'|1|'burger')}
book it at 5:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 evening time')}
make a reservation for this for 21:00,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'21:00')}
can they accomodate the 7 of us on 27 sep 2019,Restaurant->Restaurant availability#find table{'date'= '27 sep'|1|'27 sep 2019'; 'number of people'= 'for 7'|1|'the 7 of us')}
find me a table here for 4:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm time')}
reserve for david fanet and specify tom.fanet@gmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'david'|0|'david'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '4401233624'|0|'4401233624')}
manchester may work can you tell me more about it,/->/city-restaurants#search{'search by name or location'= 'manchester'|0|'manchester')}
what's the avaiability on 28 nov 2019,Restaurant->Restaurant availability#find table{'date'= '28 nov'|1|'28 nov 2019')}
show me liverpool,/->/city-restaurants#search{'search by name or location'= 'liverpool'|0|'liverpool')}
how booked it is on 29 oct 2019,Restaurant->Restaurant availability#find table{'date'= '29 oct'|1|'29 oct 2019')}
what's the avaiability on september 3 2019,Restaurant->Restaurant availability#find table{'date'= '3 sep'|1|'september 3  2019')}
is it available on 8 nov 2019 at 6:30 evening time,Restaurant->Restaurant availability#find table{'time'= '18:30'|1|'6:30 evening time'; 'date'= '8 nov'|1|'8 nov 2019')}
complete the reservation for 8:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 in the evening')}
what are some good restaurants in edinburgh new town,/city-restaurants->/search-listings/#city area{'city area'= 'edinburgh new town'|1|'edinburgh new town')}
how booked it is on august 9 2019,Restaurant->Restaurant availability#find table{'date'= '9 aug'|1|'august 9  2019')}
can they accomodate just for 10 on 8 aug 2019,Restaurant->Restaurant availability#find table{'date'= '8 aug'|1|'8 aug 2019'; 'number of people'= 'for 10'|1|'just for 10')}
can I book on 4 oct 2019 at 11:30 am time for 11 people,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 am time'; 'date'= '4 oct'|1|'4 oct 2019'; 'number of people'= 'for 11'|1|'11 people')}
can they accomodate a group of 8 friends on 14 oct 2019,Restaurant->Restaurant availability#find table{'date'= '14 oct'|1|'14 oct 2019'; 'number of people'= 'for 8'|1|'a group of 8 friends')}
make the reservation now for 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
I want to reserve for 5 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|"5 o'clock")}
place the reservation for 7:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 pm time')}
anything free at 11:00 night time,Restaurant->Restaurant availability#find table{'time'= '23:00'|1|'11:00 night time')}
I would like for you to make this reservation for me for 3 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 afternoon time')}
what about a table here at 11:30 am in the morning for just for 12,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 am in the morning'; 'number of people'= 'for 12'|1|'just for 12')}
can they accomodate 7 persons on december 24 2019,Restaurant->Restaurant availability#find table{'date'= '24 dec'|1|'december 24  2019'; 'number of people'= 'for 7'|1|'7 persons')}
show me only chinese restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'chinese'|1|'chinese')}
what's the availability on 22 oct 2019 for the 12 of us,Restaurant->Restaurant availability#find table{'date'= '22 oct'|1|'22 oct 2019'; 'number of people'= 'for 12'|1|'the 12 of us')}
reserve for mark miller and specify tom.fanet@gmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'miller'|0|'miller'; 'phone number'= '7741234567'|0|'7741234567')}
what about a table here at 2:30 in the morning for a party of 1,Restaurant->Restaurant availability#find table{'time'= '2:30'|1|'2:30 in the morning'; 'number of people'= 'for 1'|1|'a party of 1')}
make a reservation for this for 8:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 in the evening')}
more information for oblix east at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'oblix east at the shard'|1|'oblix east at the shard')}
filter by burger,/search-listings/->/search-listings/#cuisine{'cuisine'= 'burger'|1|'burger')}
what's the availability on november 14 2019 for the 6 of us,Restaurant->Restaurant availability#find table{'date'= '14 nov'|1|'november 14  2019'; 'number of people'= 'for 6'|1|'the 6 of us')}
Is the restaurant available at 9:00 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 night time')}
filter the results by steaks & grills,/search-listings/->/search-listings/#cuisine{'cuisine'= 'steaks & grills'|1|'steaks & grills')}
how booked it is on october 18 2019,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'october 18  2019')}
complete the reservation for 20:30,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'20:30')}
finalize the reservation for 6:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
is it available on november 27 2019 at 11:00,Restaurant->Restaurant availability#find table{'time'= '11:00'|1|'11:00'; 'date'= '27 nov'|1|'november 27  2019')}
place the reservation for 17:30,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'17:30')}
reserve for mark miller and specify mark_taylor@outlook.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'miller'|0|'miller'; 'phone number'= '3122345786'|0|'3122345786')}
is it available on september 18 2019 at 7:00,Restaurant->Restaurant availability#find table{'time'= '7:00'|1|'7:00'; 'date'= '18 sep'|1|'september 18  2019')}
I would like for you to make this reservation for me for 6:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm time')}
can you reserve on 6 sep 2019 for just for 3,Restaurant->Restaurant availability#find table{'date'= '6 sep'|1|'6 sep 2019'; 'number of people'= 'for 3'|1|'just for 3')}
reserve for david miller and specify tom.fanet@gmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'david'|0|'david'; 'last name'= 'miller'|0|'miller'; 'phone number'= '7741234567'|0|'7741234567')}
anything free at 15:00,Restaurant->Restaurant availability#find table{'time'= '15:00'|1|'15:00')}
can you get me a table at this one at 9 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 night time')}
find me a table here for 5:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 evening time')}
what's the availability on 28 nov 2019 for the 5 of us,Restaurant->Restaurant availability#find table{'date'= '28 nov'|1|'28 nov 2019'; 'number of people'= 'for 5'|1|'the 5 of us')}
I would like for you to make this reservation for me for 4:30 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 pm in the afternoon')}
more on the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
what about a table here at 9 morning time for 4 persons,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9 morning time'; 'number of people'= 'for 4'|1|'4 persons')}
reserve it for me under joseph taylor,Reservation form->Reservation confirmation#continue reservation{'first name'= 'joseph'|0|'joseph'; 'last name'= 'taylor'|0|'taylor')}
can I book on 28 oct 2019 at 8:00 evening time for just for 12,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'8:00 evening time'; 'date'= '28 oct'|1|'28 oct 2019'; 'number of people'= 'for 12'|1|'just for 12')}
what's the availability on 11 dec 2019 for about 5 people,Restaurant->Restaurant availability#find table{'date'= '11 dec'|1|'11 dec 2019'; 'number of people'= 'for 5'|1|'about 5 people')}
can I book on 17 oct 2019 at 10:00 am in the morning for just 2,Restaurant->Restaurant availability#find table{'time'= '10:00'|1|'10:00 am in the morning'; 'date'= '17 oct'|1|'17 oct 2019'; 'number of people'= 'for 2'|1|'just 2')}
reserve for james johnson and specify david123@gmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'james'|0|'james'; 'last name'= 'johnson'|0|'johnson'; 'phone number'= '4401233624'|0|'4401233624')}
what's the availability on december 18 2019 for the 8 of us,Restaurant->Restaurant availability#find table{'date'= '18 dec'|1|'december 18  2019'; 'number of people'= 'for 8'|1|'the 8 of us')}
display only the british options,/search-listings/->/search-listings/#cuisine{'cuisine'= 'british'|1|'british')}
filter by vegetarian,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegetarian'|1|'vegetarian')}
anything free at 2  o'clock,Restaurant->Restaurant availability#find table{'time'= '14:00'|1|"2  o'clock")}
what about a table here at 5:00 evening time for the 5 of us,Restaurant->Restaurant availability#find table{'time'= '17:00'|1|'5:00 evening time'; 'number of people'= 'for 5'|1|'the 5 of us')}
do they have any table left on 12 dec 2019,Restaurant->Restaurant availability#find table{'date'= '12 dec'|1|'12 dec 2019')}
can you reserve on 31 jul 2019 for the 10 of us,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'31 jul 2019'; 'number of people'= 'for 10'|1|'the 10 of us')}
find me a table here for 7:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 evening time')}
place the reservation for 6:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 pm time')}
I want to reserve for 4:45 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 in the afternoon')}
how booked it is on 4 jul 2019,Restaurant->Restaurant availability#find table{'date'= '4 jul'|1|'4 jul 2019')}
anything free at 9 am time,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9 am time')}
what's the availability on october 7 2019 for 9 guests,Restaurant->Restaurant availability#find table{'date'= '7 oct'|1|'october 7  2019'; 'number of people'= 'for 9'|1|'9 guests')}
can I get a table here for 4:00 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 in the afternoon')}
reserve for brian taylor and specify tom.fanet@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '3122345786'|0|'3122345786')}
is 19:00 still available,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'19:00')}
what's the avaiability on 18 nov 2019,Restaurant->Restaurant availability#find table{'date'= '18 nov'|1|'18 nov 2019')}
places where to eat in oblix west at the shard,/->/city-restaurants#search{'search by name or location'= 'oblix west at the shard'|0|'oblix west at the shard')}
I want a table here for 6:15 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 evening time')}
do they have any table left on 31 jul 2019,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'31 jul 2019')}
what's the availability on november 27 2019 for 12 persons,Restaurant->Restaurant availability#find table{'date'= '27 nov'|1|'november 27  2019'; 'number of people'= 'for 12'|1|'12 persons')}
anything free at 1 morning time,Restaurant->Restaurant availability#find table{'time'= '1:00'|1|'1 morning time')}
do they have any table left on 10 sep 2019,Restaurant->Restaurant availability#find table{'date'= '10 sep'|1|'10 sep 2019')}
finalize the reservation for 3:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 afternoon time')}
place the reservation for 7:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 evening time')}
what's the avaiability on august 27 2019,Restaurant->Restaurant availability#find table{'date'= '27 aug'|1|'august 27  2019')}
how booked it is on 9 oct 2019,Restaurant->Restaurant availability#find table{'date'= '9 oct'|1|'9 oct 2019')}
details on aqua shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'aqua shard'|1|'aqua shard')}
finalize the reservation for 7 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|"7 o'clock")}
do they have any table left on october 17 2019,Restaurant->Restaurant availability#find table{'date'= '17 oct'|1|'october 17  2019')}
confirm my table for 8:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 in the evening')}
what's the availability on 11 jul 2019 for a party of 8 people,Restaurant->Restaurant availability#find table{'date'= '11 jul'|1|'11 jul 2019'; 'number of people'= 'for 8'|1|'a party of 8 people')}
filter by gourmet cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'gourmet'|1|'gourmet')}
can you reserve on october 18 2019 for a party of 7 people,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'october 18  2019'; 'number of people'= 'for 7'|1|'a party of 7 people')}
reserve it under eric taylor,Reservation form->Reservation confirmation#continue reservation{'first name'= 'eric'|0|'eric'; 'last name'= 'taylor'|0|'taylor')}
can I get a table here for 7:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 pm in the evening')}
restaurants in edinburgh new town,/city-restaurants->/search-listings/#city area{'city area'= 'edinburgh new town'|1|'edinburgh new town')}
do they have any table left on 30 jul 2019,Restaurant->Restaurant availability#find table{'date'= '30 jul'|1|'30 jul 2019')}
I need a reservation at this place at 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
complete the reservation for 3  o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|"3  o'clock")}
what's the availability on 6 nov 2019 for 11 guests,Restaurant->Restaurant availability#find table{'date'= '6 nov'|1|'6 nov 2019'; 'number of people'= 'for 11'|1|'11 guests')}
where is liverpool,/->/city-restaurants#search{'search by name or location'= 'liverpool'|0|'liverpool')}
can you reserve on august 1 2019 for about 6 people,Restaurant->Restaurant availability#find table{'date'= '1 aug'|1|'august 1  2019'; 'number of people'= 'for 6'|1|'about 6 people')}
find me a table here for 20:30,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'20:30')}
can you reserve on september 27 2019 for 11 persons,Restaurant->Restaurant availability#find table{'date'= '27 sep'|1|'september 27  2019'; 'number of people'= 'for 11'|1|'11 persons')}
place the reservation for 4:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 pm time')}
can I get a table here for 3  o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|"3  o'clock")}
can I get a table here for 21:00,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'21:00')}
find me a table here for 3:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 afternoon time')}
do they have any table left on december 13 2019,Restaurant->Restaurant availability#find table{'date'= '13 dec'|1|'december 13  2019')}
avaiability for 3:30 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 afternoon time')}
make the reservation now for 3 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 afternoon time')}
I want a table here for 18:00,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'18:00')}
reserve this one and give james taylor as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'james'|0|'james'; 'last name'= 'taylor'|0|'taylor')}
I need a reservation at this place at 7 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 pm time')}
reserve this one and give james smith as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'james'|0|'james'; 'last name'= 'smith'|0|'smith')}
I need a reservation at this place at 3:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 afternoon time')}
place the reservation for 4:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 afternoon time')}
Is the restaurant available at 5:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 pm time')}
what's the avaiability on august 30 2019,Restaurant->Restaurant availability#find table{'date'= '30 aug'|1|'august 30  2019')}
make the reservation now for 8:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 evening time')}
what about a table here at 1:30 in the morning for me and my husband,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 in the morning'; 'number of people'= 'for 2'|1|'me and my husband')}
anything free at 6:00,Restaurant->Restaurant availability#find table{'time'= '6:00'|1|'6:00')}
is it available for 9:00 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 night time')}
more details on mber,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'mber'|1|'mber')}
find me a table here for 9:00 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 in the night')}
what's the availability on july 16 2019 for a party of 12 people,Restaurant->Restaurant availability#find table{'date'= '16 jul'|1|'july 16  2019'; 'number of people'= 'for 12'|1|'a party of 12 people')}
reserve for james smith and specify bsmith@hotmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'james'|0|'james'; 'last name'= 'smith'|0|'smith'; 'phone number'= '7741234567'|0|'7741234567')}
avaiability for 8:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 in the evening')}
can you reserve on november 11 2019 for the 7 of us,Restaurant->Restaurant availability#find table{'date'= '11 nov'|1|'november 11  2019'; 'number of people'= 'for 7'|1|'the 7 of us')}
avaiability for 5 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 in the evening')}
I would like for you to make this reservation for me for 3:30 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 afternoon time')}
is it available for 18:30,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'18:30')}
show me some edinburgh restaurants,/->/search-listings/#search{'restaurant name or location'= 'edinburgh'|0|'edinburgh')}
I want to reserve for 5 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 evening time')}
what's the avaiability on 16 dec 2019,Restaurant->Restaurant availability#find table{'date'= '16 dec'|1|'16 dec 2019')}
Is the restaurant available at 3:00 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 in the afternoon')}
get a table here for 6 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|"6 o'clock")}
anything free at 9:00 morning time,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9:00 morning time')}
Is the restaurant available at 3 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 afternoon time')}
confirm my table for 5 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|"5 o'clock")}
get a table here for 5:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 evening time')}
what about a table here at 4:30 pm in the afternoon for just me,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'4:30 pm in the afternoon'; 'number of people'= 'for 1'|1|'just me')}
can I book on 27 aug 2019 at 1:30 am time for just for 9,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 am time'; 'date'= '27 aug'|1|'27 aug 2019'; 'number of people'= 'for 9'|1|'just for 9')}
anything free at 23:30,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'23:30')}
what about a table here at 16:30 for 7 guests,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'16:30'; 'number of people'= 'for 7'|1|'7 guests')}
can I book on november 8 2019 at 8:00 for just for 8,Restaurant->Restaurant availability#find table{'time'= '8:00'|1|'8:00'; 'date'= '8 nov'|1|'november 8  2019'; 'number of people'= 'for 8'|1|'just for 8')}
can I book on 11 sep 2019 at 9:30 am in the morning for 3 persons,Restaurant->Restaurant availability#find table{'time'= '9:30'|1|'9:30 am in the morning'; 'date'= '11 sep'|1|'11 sep 2019'; 'number of people'= 'for 3'|1|'3 persons')}
is it available for 5 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 in the evening')}
do have availability for the 7 of us,Restaurant->Restaurant availability#find table{'number of people'= 'for 7'|1|'the 7 of us')}
make a reservation for this for 6:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
complete the reservation for 8 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 evening time')}
I need a reservation at this place at 5:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 pm in the evening')}
is 6:15 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 in the evening')}
show me more information for mber,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'mber'|1|'mber')}
can I book on 22 nov 2019 at 5:30 for 1 guest,Restaurant->Restaurant availability#find table{'time'= '5:30'|1|'5:30'; 'date'= '22 nov'|1|'22 nov 2019'; 'number of people'= 'for 1'|1|'1 guest')}
avaiability for 4:45 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm in the afternoon')}
book it at 4:00 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 in the afternoon')}
do they have any table left on august 26 2019,Restaurant->Restaurant availability#find table{'date'= '26 aug'|1|'august 26  2019')}
can I book on 9 dec 2019 at 9 in the night for 8 people,Restaurant->Restaurant availability#find table{'time'= '21:00'|1|'9 in the night'; 'date'= '9 dec'|1|'9 dec 2019'; 'number of people'= 'for 8'|1|'8 people')}
reserve for brian smith and specify tom.fanet@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith'; 'phone number'= '3122345786'|0|'3122345786')}
I need a reservation at this place at 9 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 in the night')}
complete the reservation for 5:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 pm in the evening')}
I would like for you to make this reservation for me for 7:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 pm in the evening')}
reserve for joseph smith and specify joseph_234@outlook.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'joseph_234@outlook.com'|0|'joseph_234@outlook.com'; 'first name'= 'joseph'|0|'joseph'; 'last name'= 'smith'|0|'smith'; 'phone number'= '3124569876'|0|'3124569876')}
complete the reservation and my email is david123@gmail.com,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com')}
is 8 o'clock still available,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|"8 o'clock")}
reserve it for me under mark smith,Reservation form->Reservation confirmation#continue reservation{'first name'= 'mark'|0|'mark'; 'last name'= 'smith'|0|'smith')}
make the reservation now for 8 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|"8 o'clock")}
which are gourmet,/search-listings/->/search-listings/#cuisine{'cuisine'= 'gourmet'|1|'gourmet')}
confirm my table for 6:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 evening time')}
complete the reservation for 6:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm in the evening')}
I would like for you to make this reservation for me for 7:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 in the evening')}
make a reservation for this for 7:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 evening time')}
can you get me a table at this one at 8 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 in the evening')}
what about a table here at 2 in the morning for 12 guests,Restaurant->Restaurant availability#find table{'time'= '2:00'|1|'2 in the morning'; 'number of people'= 'for 12'|1|'12 guests')}
I want to reserve for 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
can I book on september 27 2019 at 12:00 in the morning for about 11 people,Restaurant->Restaurant availability#find table{'time'= '12:00'|1|'12:00 in the morning'; 'date'= '27 sep'|1|'september 27  2019'; 'number of people'= 'for 11'|1|'about 11 people')}
what's the availability on 14 nov 2019 for 1,Restaurant->Restaurant availability#find table{'date'= '14 nov'|1|'14 nov 2019'; 'number of people'= 'for 1'|1|'1')}
do they have any table left on september 10 2019,Restaurant->Restaurant availability#find table{'date'= '10 sep'|1|'september 10  2019')}
how booked it is on september 10 2019,Restaurant->Restaurant availability#find table{'date'= '10 sep'|1|'september 10  2019')}
do they have any table left on october 8 2019,Restaurant->Restaurant availability#find table{'date'= '8 oct'|1|'october 8  2019')}
show me the map of this place,Restaurant->Restaurant#location{'location'= 'location'|1|'show me the map of this place')}
display city of london,/search-listings/->/search-listings/#location{'location'= 'city of london'|1|'city of london')}
can you reserve on december 2 2019 for a group of 5 friends,Restaurant->Restaurant availability#find table{'date'= '2 dec'|1|'december 2  2019'; 'number of people'= 'for 5'|1|'a group of 5 friends')}
what's the avaiability on 9 jul 2019,Restaurant->Restaurant availability#find table{'date'= '9 jul'|1|'9 jul 2019')}
place the reservation for 9:00 pm in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm in the night')}
what's the availability on 28 nov 2019 for 2 people,Restaurant->Restaurant availability#find table{'date'= '28 nov'|1|'28 nov 2019'; 'number of people'= 'for 2'|1|'2 people')}
confirm my table for 9:00 pm in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 pm in the night')}
Is the restaurant available at 4 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4 pm time')}
show me more information for london,/->/city-restaurants#search{'search by name or location'= 'london'|0|'london')}
can they accomodate a party of 10 people on 7 oct 2019,Restaurant->Restaurant availability#find table{'date'= '7 oct'|1|'7 oct 2019'; 'number of people'= 'for 10'|1|'a party of 10 people')}
book it at 15:30,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'15:30')}
can I view more details on edinburgh,/->/city-restaurants#search{'search by name or location'= 'edinburgh'|0|'edinburgh')}
can I view more details on hutong at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'hutong at the shard'|1|'hutong at the shard')}
do have availability for the 10 of us,Restaurant->Restaurant availability#find table{'number of people'= 'for 10'|1|'the 10 of us')}
is it available for 5:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 in the evening')}
